Rank,Root Domain,Linking Root Domains,Domain Authority
1,youtube.com,"21,577,182",100
2,www.google.com,"13,679,405",100
3,support.google.com,"5,037,367",100
4,apple.com,"6,275,864",99
5,linkedin.com,"11,199,159",99
6,microsoft.com,"5,105,260",99
7,www.blogger.com,"28,048,316",99
8,play.google.com,"3,728,233",99
9,maps.google.com,"5,107,424",98
10,wordpress.org,"11,492,610",98
11,cloudflare.com,"6,042,459",98
12,youtu.be,"4,881,819",98
13,en.wikipedia.org,"6,787,671",98
14,docs.google.com,"3,066,110",98
15,mozilla.org,"2,257,134",98
16,googleusercontent.com,"2,758,965",97
17,plus.google.com,"11,583,181",97
18,accounts.google.com,"2,548,386",97
19,adobe.com,"2,825,676",97
20,sites.google.com,"2,089,128",97
21,drive.google.com,"2,254,577",97
22,europa.eu,"2,051,768",97
23,bp.blogspot.com,"17,153,153",97
24,whatsapp.com,"2,982,722",97
25,vimeo.com,"3,488,902",96
26,amazon.com,"4,823,427",96
27,vk.com,"1,718,571",96
28,es.wikipedia.org,"933,732",96
29,istockphoto.com,"3,420,108",96
30,facebook.com,"57,394,719",96
31,t.me,"916,408",96
32,github.com,"2,630,035",96
33,uol.com.br,"665,857",96
34,fr.wikipedia.org,"620,359",95
35,search.google.com,"1,270,373",95
36,theguardian.com,"1,534,557",95
37,pt.wikipedia.org,"407,884",95
38,nytimes.com,"2,124,808",95
39,google.co.jp,"652,941",95
40,google.com.br,"293,292",95
41,gstatic.com,"613,921",95
42,jimdofree.com,"1,702,190",95
43,www.yahoo.com,"1,316,394",95
44,developers.google.com,"1,063,756",95
45,terra.com.br,"203,99",95
46,www.weebly.com,"4,651,766",95
47,slideshare.net,"996,764",95
48,youronlinechoices.com,"560,727",95
49,line.me,"782,182",95
50,issuu.com,"968,376",95
51,mail.google.com,"490,759",95
52,enable-javascript.com,"7,761,813",95
53,w3.org,"1,139,985",95
54,cnn.com,"1,561,042",95
55,nih.gov,"1,339,905",95
56,bbc.com,"849,547",95
57,dan.com,"2,377,655",95
58,bbc.co.uk,"1,705,625",95
59,feedburner.com,"1,777,288",95
60,brandbucket.com,"11,145,607",95
61,forbes.com,"1,455,159",95
62,creativecommons.org,"1,693,528",95
63,wikimedia.org,"1,858,641",95
64,tools.google.com,"1,670,099",95
65,files.wordpress.com,"7,522,832",95
66,google.es,"470,814",95
67,dailymotion.com,"1,131,836",95
68,dropbox.com,"1,059,960",95
69,policies.google.com,"2,136,435",95
70,imdb.com,"1,478,150",95
71,medium.com,"1,575,316",95
72,google.de,"1,128,148",95
73,live.com,"870,679",95
74,who.int,"1,974,382",95
75,news.google.com,"753,387",95
76,globo.com,"438,8",95
77,myspace.com,"1,381,514",95
78,paypal.com,"1,079,270",95
79,reuters.com,"893,17",95
80,wired.com,"655,917",94
81,booking.com,"386,906",94
82,bit.ly,"4,766,048",94
83,opera.com,"887,428",94
84,news.yahoo.com,"672,629",94
85,office.com,"458,203",94
86,netvibes.com,"1,198,323",94
87,translate.google.com,"296,223",94
88,get.google.com,"731,263",94
89,un.org,"555,645",94
90,list-manage.com,"766,61",94
91,fandom.com,"562,632",94
92,google.it,"438,536",94
93,researchgate.net,"597,145",94
94,www.gov.uk,"595,096",94
95,dailymail.co.uk,"1,047,471",94
96,msn.com,"1,094,443",94
97,independent.co.uk,"711,395",94
98,google.co.uk,"593,853",94
99,nature.com,"565,821",94
100,thesun.co.uk,"370,893",94
101,huffingtonpost.com,"1,083,693",94
102,nasa.gov,"656,249",94
103,ytimg.com,"671,568",94
104,cpanel.com,"1,457,887",94
105,mail.ru,"485,241",94
106,amazon.es,"184,295",94
107,ipv4.google.com,"345,835",94
108,aboutads.info,"576,296",94
109,hatena.ne.jp,"1,443,089",94
110,elpais.com,"411,569",94
111,hugedomains.com,"11,999,357",94
112,time.com,"790,254",94
113,telegraph.co.uk,"965,025",94
114,pinterest.com,"8,399,991",94
115,id.wikipedia.org,"513,88",94
116,wp.com,"1,692,290",94
117,washingtonpost.com,"1,114,648",94
118,amazon.co.jp,"828,313",94
119,mediafire.com,"842,686",94
120,cdc.gov,"846,441",94
121,change.org,"481,647",94
122,wsj.com,"958,524",94
123,gravatar.com,"12,109,124",94
124,elmundo.es,"236,094",94
125,www.gov.br,"142,063",94
126,wikia.com,"512,86",94
127,marketingplatform.google....,"838,165",94
128,networkadvertising.org,"719,1",94
129,sedo.com,"2,331,719",94
130,goo.gl,"4,536,545",94
131,amazon.fr,"251,631",94
132,mirror.co.uk,"369,886",94
133,google.fr,"409,963",94
134,cpanel.net,"1,547,468",94
135,pixabay.com,"427,491",94
136,huffpost.com,"1,189,319",94
137,cnet.com,"692,199",94
138,telegram.me,"339,663",94
139,plesk.com,"699,252",94
140,buydomains.com,"1,064,819",94
141,indiatimes.com,"438,036",94
142,namecheap.com,"1,151,948",94
143,forms.gle,"631,546",94
144,wa.me,"970,356",94
145,bloomberg.com,"821,868",94
146,rakuten.co.jp,"610,99",94
147,ok.ru,"351,114",94
148,amazon.de,"545,117",94
149,picasaweb.google.com,"641,864",94
150,archive.org,"1,113,440",94
151,photos.google.com,"278,971",94
152,aliexpress.com,"487,663",94
153,twitter.com,"58,753,399",94
154,shopify.com,"2,060,736",94
155,tinyurl.com,"1,403,428",94
156,estadao.com.br,"129,423",94
157,google.ru,"197,049",94
158,android.com,"301,267",94
159,foxnews.com,"561,297",94
160,scribd.com,"756,398",94
161,usatoday.com,"820,458",94
162,fb.com,"434,886",94
163,books.google.com,"423,268",94
164,amazon.co.uk,"762,757",94
165,t.co,"2,071,189",94
166,de.wikipedia.org,"659,617",94
167,4shared.com,"553,322",94
168,google.pl,"209,997",94
169,businessinsider.com,"758,414",94
170,abril.com.br,"266,1",94
171,ig.com.br,"154,254",94
172,draft.blogger.com,"10,520,337",94
173,myaccount.google.com,"333,561",94
174,mega.nz,"176,66",93
175,fb.me,"315,913",93
176,bloglovin.com,"509,58",93
177,alibaba.com,"392,507",93
178,outlook.com,"312,854",93
179,arxiv.org,"228,379",93
180,bitly.com,"399,888",93
181,deezer.com,"155,144",93
182,pbs.org,"525,424",93
183,lemonde.fr,"262,094",93
184,chicagotribune.com,"364,042",93
185,spiegel.de,"343,975",93
186,netlify.app,"349,11",93
187,sciencemag.org,"325,697",93
188,soundcloud.com,"1,793,359",93
189,usnews.com,"421,159",93
190,pl.wikipedia.org,"145,537",93
191,imageshack.us,"818,704",93
192,tiktok.com,"358,626",93
193,lefigaro.fr,"218,506",93
194,skype.com,"443,388",93
195,target.com,"281,388",93
196,zdf.de,"131,219",93
197,mit.edu,"678,71",93
198,welt.de,"240,007",93
199,interia.pl,"154,537",93
200,disney.com,"245,259",93
201,picasa.google.com,"257,063",93
202,eventbrite.com,"630,428",93
203,sciencedirect.com,"586,021",93
204,wikihow.com,"537,515",93
205,stanford.edu,"615,184",93
206,themeforest.net,"525,713",93
207,engadget.com,"441,623",93
208,leparisien.fr,"130,367",93
209,canada.ca,"245,807",93
210,netflix.com,"332,79",93
211,twitch.tv,"442,558",93
212,aol.com,"696,651",93
213,storage.googleapis.com,"733,755",93
214,nbcnews.com,"670,399",93
215,academia.edu,"366,271",93
216,express.co.uk,"329,939",93
217,ja.wikipedia.org,"352,555",93
218,sapo.pt,"229,836",93
219,vice.com,"388,751",93
220,php.net,"648,444",93
221,disqus.com,"922,173",93
222,surveymonkey.com,"441,923",93
223,news.com.au,"303,647",93
224,privacyshield.gov,"435,797",93
225,urbandictionary.com,"253,2",93
226,smh.com.au,"306,508",93
227,repubblica.it,"199,247",93
228,naver.com,"495,06",93
229,newyorker.com,"412,724",93
230,wiley.com,"579,088",93
231,nationalgeographic.com,"626,514",93
